tuto.combinaison.pad.xbox,"Some elements of the environment can be combined with items from your Inventory. To combine them, first activate the element, choose your item, then press the Action button again.","Certains éléments du décor peuvent être associés avec des objets de votre Inventaire. Pour les associer, actionnez d'abord l'élément, choisissez votre objet, puis appuyez à nouveau sur la touche d'Action.",周围有些东西能和行囊里的物品组合。操作步骤：首先激活周围的东西，然后选择你的物品，最后再按一下行动按钮。,某些環境要素可以與你背包內的物品互相搭配。要將兩者組合，首先觸發環境要素，選擇你的物品，然後再次按下「操作」按鍵。
,"Some elements of the environment can be combined with items from your Inventory. To combine them, first activate the element, choose your item, then press the Action Button again.","Certains éléments du décor peuvent être associés avec des objets de votre Inventaire. Pour les associer, actionnez d'abord l'élément, choisissez votre objet, puis appuyez à nouveau sur le bouton d'Action.",周围有些东西能和行囊里的物品组合。操作步骤：首先激活周围的东西，然后选择你的物品，最后再按一下行动键。,某些環境要素可以與你背包內的物品互相搭配。要將兩者組合，首先觸發環境要素，選擇你的物品，然後再次按下「操作」鍵。
,"Some elements of the environment can be combined with items from your Inventory. To combine them, first activate the element, choose your item, then press the Interaction button again.","Certains éléments du décor peuvent être associés avec des objets de votre Inventaire. Pour les associer, actionnez d'abord l'élément, choisissez votre objet, puis appuyez à nouveau sur la touche d'Interaction.",周围有些东西能和行囊里的物品组合。操作步骤：首先激活周围的东西，然后选择你的物品，最后再按一下互动按键。,某些環境要素可以與你背包內的物品互相搭配。要將兩者組合，首先觸發環境要素，選擇你的物品，然後再次按下「互動」按鈕。
menu.popup.complete.devots,You've completed the translation of the Devotees' language!,Vous avez entièrement traduit la langue des Dévots !,信徒的语言破译完毕！,你已完成朝覲者語言的翻譯！
menu.popup.complete.guerriers,You've completed the translation of the Warriors' language!,Vous avez entièrement traduit la langue des Guerriers !,战士的语言破译完毕！,你已完成戰士語言的翻譯！
menu.popup.complete.bardes,You've completed the translation of the Bards' language!,Vous avez entièrement traduit la langue des Bardes !,诗人的语言破译完毕！,你已完成吟遊詩人語言的翻譯！
menu.popup.complete.alchimistes,You've completed the translation of the Alchemists' language!,Vous avez entièrement traduit la langue des Alchimistes !,炼金术师的语言破译完毕！,你已完成煉金術士語言的翻譯！
menu.popup.complete.reclus,You've completed the translation of the Anchorites' language!,Vous avez entièrement traduit la langue des Reclus !,隐士的语言破译完毕！,你已完成避世者語言的翻譯！
menu.popup.complete.link,Something has changed in the Tower...,Quelque chose a changé dans la Tour...,塔里出现了一些变化……,通天塔內，轉變悄然發生……
menu.stat.general.1.demo,"Congratulations, you've reached the end of this demo!","Bravo, vous avez atteint la fin de cette démo !",恭喜，试玩版本已通关！,恭喜，你已抵達體驗版的尾聲！
menu.stat.glyphes,'Number of validated glyphs:','Nombre de glyphes validés :',字符验证总数：,驗證字符數：
menu.stat.general.2,But the adventure has only just begun...,Mais l'aventure ne fait que commencer…,不过，冒险只是刚刚开始……,不過，冒險才剛剛拉開序幕……
menu.stat.general.3.other,"TO CONTINUE YOUR JOURNEY, GET THE FULL VERSION OF CHANTS OF SENNAAR!",OBTENEZ LA VERSION COMPLÈTE DE CHANTS OF SENNAAR POUR POURSUIVRE VOTRE VOYAGE !,想要继续你的冒险之旅，那就入手《巴别塔圣歌》的完整版吧！,敬請取得完整版《Chants of Sennaar》，繼續進行旅程！
,"TO CONTINUE YOUR JOURNEY, YOU CAN GET THE FULL VERSION OF CHANTS OF SENNAAR!",VOUS POUVEZ OBTENIR LA VERSION COMPLÈTE DE CHANTS OF SENNAAR POUR POURSUIVRE VOTRE VOYAGE !,想要继续冒险之旅的话，可以趁此机会入手《巴别塔圣歌》完整版！,敬請取得完整版《Chants of Sennaar》，繼續進行旅程！
,"TO CONTINUE YOUR JOURNEY, GET THE FULL VERSION OF CHANTS OF SENNAAR!",OBTENEZ LA VERSION COMPLÈTE DE CHANTS OF SENNAAR POUR POURSUIVRE VOTRE VOYAGE !,想要继续你的冒险之旅，那就入手《巴别塔圣歌》的完整版吧！,敬請取得完整版《Chants of Sennaar》，繼續進行旅程！
menu.copyright,"Rundisc/Focus Entertainment, 2023. All rights reserved. v.$1","Rundisc/Focus Entertainment, 2023. Tous droits réservés. v.$1",© 2023，Rundisc/Focus Entertainment版权所有 v.$1,版權所有 © 2023 Rundisc/Focus Entertainment v.$1
menu.copyright,"Rundisc/Focus Entertainment, 2023. All rights reserved. v.$1","Rundisc/Focus Entertainment, 2023. Tous droits réservés. v.$1",© 2023，Rundisc/Focus Entertainment版权所有 v.$1,版權所有 © 2023 Rundisc/Focus Entertainment v.$1
menu.presskey.xbox,Press a button,Appuyez sur une touche,随便按一个按钮,按下任意按鍵
,Press a Button,Appuyez sur un bouton,随便按一个键,按下任意鍵
,Press a button,Appuyez sur une touche,随便按一个按键,按下任意按鈕
menu.jouer,Play,Jouer,开始游戏,開始遊戲
menu.options,Options,Options,游戏设置,選項
menu.quitter,Quit,Quitter,退出游戏,退出
menu.jouer.slot.niveau,$1 - $2 - $3,$1 - $2 - $3,$1 - $2 - $3,$1 - $2 - $3
menu.jouer.slot.time,'Time played: $1 H $2 MN','Temps de jeu : $1 H $2 MN',游戏时长：$1时$2分,遊戲時長：$1小時$2分鐘
menu.jouer.slot.runes,'Glyphs validated: $1/$2','Glyphes validés : $1/$2',字符验证数量：$1/$2,已驗證字符：$1/$2
menu.jouer.slot.vide,'[ Empty slot ]','[ Emplacement vide ]','[空]','[ 空白欄位 ]'
,CRYPT,CRYPTE,墓穴,墓穴
,ABBEY,ABBAYE,修院,隱修院
,FRONTIER,FRONTIÈRE,边境,邊境
,FORTRESS,FORTERESSE,城堡,要塞
,GARDENS,JARDINS,妙园,園林
,TUNNELS,GALERIES,坑道,坑道
,FACTORY,FABRIQUE,工厂,工房
,EXILE,EXIL,放逐之地,放逐
,'?????','?????',？？？？,'?????'
menu.demo.save.error,This save is only compatible with the full version of the game.,Cette sauvegarde ne peut être chargée qu'avec la version complète du jeu.,这个存档只与游戏的完整版本兼容。,此存檔僅與完整版遊戲相容。
menu.demo.save.error,This save is only compatible with the full version of the game.,Cette sauvegarde ne peut être chargée qu'avec la version complète du jeu.,这个存档只与游戏的完整版本兼容。,此存檔僅與完整版遊戲相容。
menu.demo.save.error,This save is only compatible with the full version of the game.,Cette sauvegarde ne peut être chargée qu'avec la version complète du jeu.,这个存档只与游戏的完整版本兼容。,此存檔僅與完整版遊戲相容。
menu.jouer.titre,Play,Jouer,开始游戏,開始遊戲
menu.jouer.description,'Choose a save slot:','Choisissez un emplacement de sauvegarde :',选择存档槽位：,選擇一個存檔欄位：
menu.jouer.charger,Load game,Charger la sauvegarde,加载游戏,載入遊戲
menu.jouer.nouveau,New game,Nouvelle partie,新的游戏,新遊戲
menu.jouer.effacer,Delete,Effacer la sauvegarde,删除,刪除
menu.demo.save.error,This save is only compatible with the full version of the game.,Cette sauvegarde ne peut être chargée qu'avec la version complète du jeu.,这个存档只与游戏的完整版本兼容。,此存檔僅與完整版遊戲相容。
menu.load,Load game,Charger la sauvegarde,加载游戏,加載遊戲
menu.save.corruption,"'WARNING: Corrupted data has been detected. You can try to reload your game, but you may not be able to progress normally.'",'ATTENTION : Des données corrompues ont été détectées. Vous pouvez essayer de recharger votre jeu mais il se peut que vous ne puissiez pas progresser normalement.',注意：发现损坏数据，可以重新加载进度，只是游戏可能无法正常继续。,警告：偵測到資料損毀。你可以嘗試重新載入遊戲，但可能無法正常遊玩。
menu.jouer.effacer.oui,Yes,Oui,是,是
menu.jouer.effacer.non,No,Non,否,否
menu.jouer.effacer.confirmation,Delete saved game?,Effacer la sauvegarde ?,删除存档？,要刪除存檔嗎？
menu.jouer.effacer.attention,'Warning: all your saved data will be lost.','Attention : toutes vos données enregistrées seront perdues.',警告：保存的所有游戏数据均将丢失。,警告：所有儲存資料都會遺失。
menu.langue,English,Français,简体中文,繁體中文
menu.options.langue,Language,Langue,语言,語言
menu.options.commandes,Controls,Commandes,键位,控制
menu.options.audio,Audio,Audio,声音,音訊
menu.options.image,Image,Image,图像,畫面
menu.options.video,Video,Vidéo,画面,視訊
menu.options,Options,Options,游戏设置,選項
menu.image.radar.press,Hold,Maintenir,长按,長按顯示
menu.image.radar.toggle,Toggle,On/Off,点击切换,開/關始終顯示
menu.image.radar.off,Never,Désactivé,关,永不
menu.image.controleur.souris,Mouse,Souris,鼠标,滑鼠
menu.image.controleur.pad,Controller,Manette,控制器,控制器
menu.image.radar.label,Show hints,Affichage des indices,显示提示,顯示提示
menu.image.controleur.label,Controls,Contrôles,键位设置,控制方式
menu.options.commandes,Controls,Commandes,键位,控制
menu.commandes.pause,Pause/Menu,Pause/Menu,暂停游戏,暫停/選單
menu.commandes.langage,Swap Language,Changer de langue,切换语言,切換語言
menu.commandes.journal,Journal,Journal,笔记本,日誌
menu.commandes.page,Swap Page,Changer de page,翻页,翻頁
menu.commandes.deplacer.interagir,Move/Interact,Se déplacer/Interagir,移动/互动,移動/互動
menu.commandes.annuler,Cancel,Annuler,取消,取消
menu.commandes.indices,Hints,Indices,提示,提示
menu.commandes.deplacer,Move,Se déplacer,移动,移動
menu.commandes.pause,Pause/Menu,Pause/Menu,暂停游戏,暫停/選單
menu.commandes.indices,Hints,Indices,提示,提示
menu.commandes.inventaire,Inventory,Inventaire,行囊,背包
menu.commandes.journal,Journal,Journal,笔记本,日誌
menu.commandes.annuler,Cancel,Annuler,取消,取消
menu.commandes.interagir,Interact,Interagir,互动,互動
menu.commandes.deplacer,Move,Se déplacer,移动,移動
menu.commandes.pause,Pause/Menu,Pause/Menu,暂停游戏,暫停/選單
menu.commandes.indices,Hints,Indices,提示,提示
menu.commandes.inventaire,Inventory,Inventaire,行囊,背包
menu.commandes.journal,Journal,Journal,笔记本,日誌
menu.commandes.annuler,Cancel,Annuler,取消,取消
menu.commandes.interagir,Interact,Interagir,互动,互動
menu.commandes.deplacer,Move,Se déplacer,移动,移動
menu.commandes.pause,Pause/Menu,Pause/Menu,暂停游戏,暫停/選單
menu.commandes.indices,Hints,Indices,提示,提示
menu.commandes.inventaire,Inventory,Inventaire,行囊,背包
menu.commandes.journal,Journal,Journal,笔记本,日誌
menu.commandes.annuler,Cancel,Annuler,取消,取消
menu.commandes.interagir,Interact,Interagir,互动,互動
menu.commandes.deplacer,Move,Se déplacer,移动,移動
menu.commandes.pause,Pause/Menu,Pause/Menu,暂停游戏,暫停/選單
menu.commandes.indices,Hints,Indices,提示,提示
menu.commandes.inventaire,Inventory,Inventaire,行囊,背包
menu.commandes.journal,Journal,Journal,笔记本,日誌
menu.commandes.annuler,Cancel,Annuler,取消,取消
menu.commandes.interagir,Interact,Interagir,互动,互動
menu.commandes.deplacer,Move,Se déplacer,移动,移動
menu.commandes.pause,Pause/Menu,Pause/Menu,暂停游戏,暫停/選單
menu.commandes.indices,Hints,Indices,提示,提示
menu.commandes.journal,Journal,Journal,笔记本,日誌
menu.commandes.interagir,Interact,Interagir,互动,互動
menu.commandes.annuler,Cancel,Annuler,取消,取消
menu.commandes.inventaire,Inventory,Inventaire,行囊,背包
menu.commandes.deplacer,Move,Se déplacer,移动,移動
menu.commandes.pause,Pause/Menu,Pause/Menu,暂停游戏,暫停/選單
menu.commandes.indices,Hints,Indices,提示,提示
menu.commandes.inventaire,Inventory,Inventaire,行囊,背包
menu.commandes.journal,Journal,Journal,笔记本,日誌
menu.commandes.interagir,Interact,Interagir,互动,互動
menu.commandes.annuler,Cancel,Annuler,取消,取消
menu.commandes.deplacer,Move,Se déplacer,移动,移動
menu.commandes.pause,Pause/Menu,Pause/Menu,暂停游戏,暫停/選單
menu.commandes.indices,Hints,Indices,提示,提示
menu.commandes.journal,Journal,Journal,笔记本,日誌
menu.commandes.interagir,Interact,Interagir,互动,互動
menu.commandes.annuler,Cancel,Annuler,取消,取消
menu.commandes.inventaire,Inventory,Inventaire,行囊,背包
menu.audio.volume.label,Master volume,Volume général,主音量,主音量
menu.audio.vfx.label,Effects volume,Volume des effets,音效音量,音效音量
menu.audio.music.label,Music volume,Volume de la musique,音乐音量,音樂音量
menu.options.reset,Reset to default,Réinitialiser,恢复默认设置,重設為預設值
menu.options.audio,Audio,Audio,声音,音訊
menu.image.hatching.off,Off,Désactivées,关,關
menu.image.hatching.low,Reduced,Réduites,弱,較輕
menu.image.hatching.on,Normal,Normales,正常,正常
menu.image.brightness.label,Brightness,Luminosité,亮度,亮度
menu.image.saturation.label,Saturation,Saturation,饱和度,飽和度
menu.image.hatching.label,Hatching,Hachures,影线,剖面線陰影
menu.options.reset,Reset to default,Réinitialiser,恢复默认设置,重設為預設值
menu.image.consigne,Adjust the brightness so that the logo on the left is barely visible.,Ajustez la luminosité pour que le logo à gauche soit presque invisible.,调整亮度，下方左侧标志隐约可见即可。,調整亮度至基本看不見左邊的圖標。
menu.options.image,Image,Image,图像,畫面
menu.video.resolution.valeur,$1 x $2,$1 x $2,$1 x $2,$1 x $2
menu.video.quality.low,Low,Faible,低,低
menu.video.quality.medium,Medium,Moyenne,中,中
menu.video.quality.high,High,Haute,高,高
menu.video.fps.30,Reduced,Réduite,减半,減半
menu.video.fps.60,Maximum,Maximale,最高帧率,最大
menu.video.fullscreen,Fullscreen,Plein écran,全屏,全螢幕
menu.video.windowed,Windowed,Fenêtré,窗口化,視窗化
menu.video.resolution.label,Resolution,Résolution,分辨率,分辨率
menu.video.quality.label,Quality,Qualité,画质,品質
menu.video.fps.label,Frame rate,Fréquence d'images,帧率,幀率
menu.video.affichage.label,Display mode,Mode d'affichage,显示模式,顯示模式
menu.options.video,Video,Vidéo,画面,視訊
menu.options,Options,Options,游戏设置,選項
menu.aide.titre,Help,Aide,帮助,支援
menu.retourmenu.quitter,Quit,Quitter,退出游戏,退出
menu.pause,Pause,Pause,暂停,暫停
menu.retourmenu.quitter,Quit,Quitter,退出游戏,退出
menu.retourmenu.annuler,Cancel,Annuler,取消,取消
menu.retourmenu.titre,Quit the game?,Quitter la partie ?,退出游戏？,要退出遊戲嗎？
menu.retourmenu.saved.1,'( Last saved: less than a minute ago )','( Dernière sauvegarde : il y a moins d''une minute )',（最近保存时间：若干秒之前）,（上一次存檔：不到一分鐘前）
menu.retourmenu.saved.2,'( Last saved: one minute ago )','( Dernière sauvegarde : il y a une minute )',（最近保存时间：一分钟之前）,（上一次存檔：一分鐘前）
menu.retourmenu.saved.3,'( Last saved: $1 minutes ago )','( Dernière sauvegarde : il y a $1 minutes )',（最近保存时间：$1分钟之前）,（上一次存檔：$1分鐘前）
menu.retourmenu.saved.4,'( Last saved: over an hour ago )','( Dernière sauvegarde : il y a plus d''une heure )',（最近保存时间：超过一个小时之前）,（上一次存檔：超過一小時前）
menu.aide.titre.controles,Controls,Contrôles,键位,控制
menu.aide.titre.journal,Journal,Journal,笔记本,日誌
menu.aide.titre.glyphes,Glyphs,Glyphes,字符,字符
menu.aide.titre.inventaire,Inventory,Inventaire,行囊,背包
menu.aide.titre.infiltration,Infiltration,Infiltration,潜行,潛行
menu.aide.titre.mecanisme,Mechanisms,Mécanismes,机关,玩法機制
menu.aide.titre.indices,Hints,Indices,提示,提示
menu.aide.titre,Help,Aide,帮助,支援
menu.aide.titre.controles,Controls,Contrôles,键位,控制
tuto.deplacement.souris.1,Click on the background to move.,Cliquez dans le décor pour vous déplacer à la souris.,点击地面即可移动。,點按背景移動。
tuto.deplacement.souris.2,You can also choose to play with a controller.,Vous pouvez également choisir de jouer à la manette.,也可以选择使用控制器。,你也可以選擇用控制器進行遊戲。
tuto.interaction.souris,Click on an item to interact with it.,Cliquez sur un élément pour interagir avec lui.,如果需要和某个物体互动，点击物体就行。,點按物品與之互動。
tuto.deplacement.pad.xbox,Use the left stick to move.,Utilisez le stick analogique gauche pour vous déplacer.,使用左摇杆移动。,使用左搖桿移動。
,Use the Left Stick to move.,Utilisez le stick gauche pour vous déplacer.,使用L摇杆移动。,使用L操控搖桿移動。
,Use the left stick to move.,Utilisez le joystick gauche pour vous déplacer.,使用左操作杆移动。,使用左操作桿移動。
tuto.deplacement.pad.2,You can also choose to play using the mouse.,Vous pouvez également choisir de jouer à la souris.,也可以使用鼠标游玩。,你也可以選擇用滑鼠進行遊戲。
tuto.interaction.pad.xbox,Go close to an item and press the Action button to interact with it.,Approchez-vous d’un élément et appuyez sur la touche d’Action pour interagir avec lui.,走到物体旁边，然后按行动按钮可以与其互动。,接近物品後，按下「操作」按鍵與之互動。
,Go close to an item and press the Action Button to interact with it.,Approchez-vous d’un élément et appuyez sur le bouton d’Action pour interagir avec lui.,走到物体旁边，然后按行动键可以与其互动。,接近物品後，按下「操作」鍵與之互動。
,Go close to an item and press the Interaction button to interact with it.,Approchez-vous d’un élément et appuyez sur la touche d’Interaction pour interagir avec lui.,走到物体旁边，然后按互动按键可以与其互动。,接近物品後，按下「互動」按鈕與之互動。
tuto.deplacement.pad.xbox,Use the left stick to move.,Utilisez le stick analogique gauche pour vous déplacer.,使用左摇杆移动。,使用左搖桿移動。
,Use the Left Stick to move.,Utilisez le stick gauche pour vous déplacer.,使用L摇杆移动。,使用L操控搖桿移動。
,Use the left stick to move.,Utilisez le joystick gauche pour vous déplacer.,使用左操作杆移动。,使用左操作桿移動。
tuto.interaction.pad.xbox,Go close to an item and press the Action button to interact with it.,Approchez-vous d’un élément et appuyez sur la touche d’Action pour interagir avec lui.,走到物体旁边，然后按行动按钮可以与其互动。,接近物品後，按下「操作」按鍵與之互動。
,Go close to an item and press the Action Button to interact with it.,Approchez-vous d’un élément et appuyez sur le bouton d’Action pour interagir avec lui.,走到物体旁边，然后按行动键可以与其互动。,接近物品後，按下「操作」鍵與之互動。
,Go close to an item and press the Interaction button to interact with it.,Approchez-vous d’un élément et appuyez sur la touche d’Interaction pour interagir avec lui.,走到物体旁边，然后按互动按键可以与其互动。,接近物品後，按下「互動」按鈕與之互動。
menu.aide.titre.journal,Journal,Journal,笔记本,日誌
tuto.journal.souris.1,This Journal will record all the glyphs you discover.,Le Journal enregistre tous les glyphes que vous découvrez.,这个笔记本会记下你看到的所有字符。,這本日誌會記錄你發現的所有字符。
tuto.journal.souris.2,"To open it, click on the Journal button.","Pour l'afficher, cliquez sur le bouton Journal.",点击笔记本的图标，就能翻开笔记本。,要打開日誌，請點按「日誌」按鈕。
tuto.journal.souris.3,You can also open it by clicking directly on a text.,Vous pouvez aussi l’ouvrir en cliquant directement sur un texte.,直接点击文字也能翻开笔记本。,直接點按文字，也同樣可以打開日誌。
tuto.annotation.souris.1,"When you think you have guessed the meaning of a glyph, you can click on it to note your hypothesis.","Quand vous pensez avoir deviné le sens d'un glyphe, cliquez dessus pour consigner votre hypothèse.",如果觉得自己猜到了某个字符的意思，可以点击字符，然后记下自己的猜测。,當你覺得已猜出某一字符的含義時，點按該字符即可記錄下你的猜測。
tuto.annotation.souris.2,"To exit the Journal, click on the Close button.","Pour quitter le Journal, cliquez sur le bouton de fermeture.",点击关闭按钮可以合上笔记本。,要退出日誌，請點按「關閉」按鈕。
tuto.journal.pad.1,This Journal will record all the glyphs you discover.,Le Journal enregistre tous les glyphes que vous découvrez.,这个笔记本会记下你看到的所有字符。,這本日誌會記錄你發現的所有字符。
tuto.journal.pad.2.xbox,"To open it, press the Journal button.","Pour l'afficher, appuyez sur la touche Journal.",按笔记本按钮可以翻开笔记本。,要打開日誌，請按下「日誌」按鍵。
,"To open it, press the Journal Button.","Pour l'afficher, appuyez sur le bouton Journal.",按笔记本键可以翻开笔记本。,要打開日誌，請按下「日誌」鍵。
,"To open it, press the Journal button.","Pour l'afficher, appuyez sur la touche Journal.",按笔记本按键可以翻开笔记本。,要打開日誌，請按下「日誌」按鈕。
tuto.journal.pad.3,You can also open it by selecting a text directly.,Vous pouvez aussi l’ouvrir en sélectionnant directement un texte.,直接选中文字也能翻开笔记本。,直接選擇文字，也同樣可以打開日誌。
tuto.annotation.pad.1.xbox,"When you think you have guessed the meaning of a glyph, select it and use the Annotation button to note your hypothesis.","Quand vous pensez avoir deviné le sens d'un glyphe, sélectionnez-le puis utilisez la touche d’Annotation pour consigner votre hypothèse.",如果觉得自己猜到了某个字符的意思，可以选中字符，然后按备注按钮记下自己的猜测。,當你覺得已猜出某一字符的含義時，選擇該字符並使用「註解」按鍵，即可記錄下你的猜測。
